feature_name,feature_type,selection_method,selection_score,rank
21throw_161thcolumn,connectome_edge,SelectKBest_f_classif,8.212853149801525,93.0
51throw_124thcolumn,connectome_edge,SelectKBest_f_classif,8.198679073975125,94.0
47throw_96thcolumn,connectome_edge,SelectKBest_f_classif,8.15654537925846,95.0
72throw_99thcolumn,connectome_edge,SelectKBest_f_classif,8.144040062009708,96.0
70throw_113thcolumn,connectome_edge,SelectKBest_f_classif,8.135074091917458,97.0
73throw_182thcolumn,connectome_edge,SelectKBest_f_classif,8.124145109730664,98.0
52throw_150thcolumn,connectome_edge,SelectKBest_f_classif,8.070211562391423,99.0
52throw_192thcolumn,connectome_edge,SelectKBest_f_classif,8.069587258562084,100.0
EHQ_EHQ_Total,quantitative_metadata,always_included,,
ColorVision_CV_Score,quantitative_metadata,always_included,,
APQ_P_APQ_P_CP,quantitative_metadata,always_included,,
APQ_P_APQ_P_ID,quantitative_metadata,always_included,,
APQ_P_APQ_P_INV,quantitative_metadata,always_included,,
APQ_P_APQ_P_OPD,quantitative_metadata,always_included,,
APQ_P_APQ_P_PM,quantitative_metadata,always_included,,
APQ_P_APQ_P_PP,quantitative_metadata,always_included,,
SDQ_SDQ_Conduct_Problems,quantitative_metadata,always_included,,
SDQ_SDQ_Difficulties_Total,quantitative_metadata,always_included,,
SDQ_SDQ_Emotional_Problems,quantitative_metadata,always_included,,
SDQ_SDQ_Externalizing,quantitative_metadata,always_included,,
SDQ_SDQ_Generating_Impact,quantitative_metadata,always_included,,
SDQ_SDQ_Hyperactivity,quantitative_metadata,always_included,,
SDQ_SDQ_Internalizing,quantitative_metadata,always_included,,
SDQ_SDQ_Peer_Problems,quantitative_metadata,always_included,,
SDQ_SDQ_Prosocial,quantitative_metadata,always_included,,
PreInt_Demos_Fam_Child_Ethnicity,categorical_metadata,always_included,,
PreInt_Demos_Fam_Child_Race,categorical_metadata,always_included,,
